Tag, Length, Phi, Area, EEM, EAM, EAE, Double
L1F2AX_W082, 1, 2, 0.82, 260, 720, 626, 0
L1F2AX_W085, 1, 2, 0.85, 236, 783, 676, 1
L1F2AX_W088, 1, 2, 0.88, 267, 803, 697, 1
L1F2AX_W091, 1, 2, 0.91, 270, 846, 738, 0
L1F2AX_W094, 1, 2, 0.94, 298, 960, 844, 1
L1F2AX_W097, 1, 2, 0.97, 309, 932, 807, 0
L1F2AX_W100, 1, 2, 1, 312, 1056, 894, 0
L1F2AX_W103, 1, 2, 1.03, 290, 1063, 919, 2
L1F2AX_W106, 1, 2, 1.06, 328, 1045, 929, 1
L1F2AX_W109, 1, 2, 1.09, 320, 1134, 975, 0
L1F2AX_W112, 1, 2, 1.12, 313, 1220, 1071, 3
L1F2AX, 1, 2, 0.97, 998, 3114, 2717, 3
