length, width, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61
1, 2, 3.8e+03, 2.47e+03, 1.87e+03, 1e+03, 255, 315, 383, 391, 357, 271, 235, 303, 328, 421, 410, 504, 454, 487, 467, 655, 676, 742, 664, 877, 845, 737, 442, 338, 222, 139, 62.3, 21.6, 0.286, 0.143, 0.214, 0.357, 0.214, 0.357, 0.143, 0.143, 0, 0.357, 0.0714, 0.143, 0.214, 0.143, 0.286, 0, 0.0714, 0.0714, 0.0714, 0.143, 0, 0.0714, 0.0714, 0, 0, 0, 0, 0, 0
1, 3, 1.06e+04, 7.06e+03, 5.22e+03, 5.32e+03, 1.9e+03, 2.12e+03, 2.58e+03, 2.8e+03, 3.03e+03, 2.31e+03, 1.67e+03, 2.05e+03, 2.67e+03, 3.23e+03, 3.19e+03, 4.54e+03, 3.73e+03, 4.73e+03, 3.68e+03, 4.58e+03, 5.13e+03, 6.84e+03, 4.74e+03, 5.84e+03, 5.8e+03, 6.47e+03, 3.15e+03, 2.33e+03, 1.51e+03, 884, 410, 207, 9.29, 9.29, 7.86, 5.71, 7.5, 8.21, 7.14, 7.14, 3.57, 6.07, 4.64, 6.43, 6.79, 2.86, 6.07, 6.07, 4.29, 5.71, 4.29, 3.93, 0.714, 1.07, 0.357, 0.357, 0.357, 0, 0, 0, 0 
1, 4, 2.51e+04, 1.38e+04, 9.68e+03, 1.34e+04, 4.97e+03, 5.62e+03, 6.8e+03, 7.25e+03, 8.43e+03, 6.36e+03, 4.46e+03, 5.31e+03, 6.74e+03, 9.76e+03, 7.8e+03, 1.36e+04, 9.35e+03, 1.5e+04, 9.45e+03, 1.24e+04, 1.23e+04, 2.03e+04, 1.19e+04, 1.58e+04, 1.43e+04, 1.79e+04, 8.26e+03, 6.34e+03, 3.94e+03, 2.61e+03, 1.35e+03, 717, 49.2, 35.8, 45.8, 37.5, 42.5, 43.3, 39.2, 39.2, 38.3, 35.8, 38.3, 47.5, 37.5, 20.8, 26.7, 23.3, 17.5, 21.7, 19.2, 18.3, 10, 6.67, 8.33, 5, 2.5, 3.33, 0, 1.67, 2.5 
1, 7, 5.68e+04, 2.67e+04, 1.81e+04, 2.95e+04, 1.13e+04, 1.26e+04, 1.62e+04, 1.68e+04, 1.96e+04, 1.53e+04, 1e+04, 1.24e+04, 1.53e+04, 2.34e+04, 1.68e+04, 3.31e+04, 2.04e+04, 3.68e+04, 2.16e+04, 2.9e+04, 2.71e+04, 4.84e+04, 2.63e+04, 3.69e+04, 3.22e+04, 4.16e+04, 1.89e+04, 1.41e+04, 8.98e+03, 5.69e+03, 2.69e+03, 1.44e+03, 137, 146, 148, 139, 139, 145, 143, 163, 136, 130, 125, 147, 118, 103, 92, 95, 76, 84, 64, 55, 42, 27, 23, 12, 10, 4, 1, 5, 1
1, 11, 1.14e+05, 3.04e+04, 2.02e+04, 3.17e+04, 1.3e+04, 1.39e+04, 1.66e+04, 1.64e+04, 2.07e+04, 1.59e+04, 1.01e+04, 1.24e+04, 1.51e+04, 2.24e+04, 1.64e+04, 3.18e+04, 1.98e+04, 3.32e+04, 2.01e+04, 2.71e+04, 2.61e+04, 4.64e+04, 2.51e+04, 3.39e+04, 3.28e+04, 4.71e+04, 2.4e+04, 2.03e+04, 1.48e+04, 1.21e+04, 7.52e+03, 5.72e+03, 418, 173, 132, 122, 122, 137, 128, 133, 131, 136, 118, 129, 109, 93, 107, 97, 71, 86, 72, 70, 47, 50, 37, 38, 27, 19, 14, 12, 11
3, 2, 311, 365, -41.7, 0.103, 1.44, 11, 41.2, 38.3, 31.2, 25.1, 22.4, 28.7, 27, 38.9, 38.1, 42.3, 35, 36.2, 35.2, 58.3, 53.2, 57.1, 68.4, 106, 83.9, 80.2, 57.4, 46.4, 34.3, 22.1, 8.45, 2.42, 0.155, 0, 0, 0, 0.0515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0515, 0, 0
3, 3, 4.39e+03, 2.01e+03, 2.12e+03, 1.5e+03, 446, 532, 721, 970, 982, 616, 468, 587, 656, 755, 828, 957, 811, 838, 768, 1.04e+03, 1.13e+03, 1.3e+03, 1.19e+03, 1.7e+03, 2.06e+03, 2.11e+03, 1.51e+03, 1.33e+03, 1.07e+03, 846, 483, 239, 12.4, 3.6, 2.8, 0.8, 1.2, 1.2, 0.4, 2, 0.8, 1.2, 2, 1.2, 2, 0.8, 1.2, 0, 0.4, 1.6, 0.4, 0.8, 1.2, 1.2, 0.4, 0, 0, 0.4, 0, 0, 0
3, 4, 7.43e+03, 4.65e+03, 4.37e+03, 4.35e+03, 1.47e+03, 1.67e+03, 1.99e+03, 2.74e+03, 3.58e+03, 2.33e+03, 1.58e+03, 1.75e+03, 2.19e+03, 2.63e+03, 2.59e+03, 3.59e+03, 2.94e+03, 3.25e+03, 2.71e+03, 3.45e+03, 4.14e+03, 5.48e+03, 4.22e+03, 4.99e+03, 6.56e+03, 7.99e+03, 4.53e+03, 3.77e+03, 2.79e+03, 2.09e+03, 1.17e+03, 655, 19.1, 12.7, 5.45, 2.73, 12.7, 5.45, 9.09, 7.27, 10, 7.27, 6.36, 10.9, 3.64, 5.45, 10.9, 2.73, 5.45, 4.55, 2.73, 8.18, 2.73, 1.82, 0.909, 0.909, 1.82, 0, 0.909, 0, 0
3, 7, 2.35e+04, 1.37e+04, 9.7e+03, 1.62e+04, 5.91e+03, 6.04e+03, 7.44e+03, 9.11e+03, 1.32e+04, 9.31e+03, 5.59e+03, 6.34e+03, 7.78e+03, 1.07e+04, 8.38e+03, 1.57e+04, 1.04e+04, 1.53e+04, 1.04e+04, 1.42e+04, 1.55e+04, 2.54e+04, 1.58e+04, 2.04e+04, 2.2e+04, 3.12e+04, 1.55e+04, 1.21e+04, 8.34e+03, 5.74e+03, 2.85e+03, 1.58e+03, 82.5, 52.5, 43.8, 53.8, 48.8, 47.5, 45, 40, 50, 56.2, 48.8, 56.2, 56.2, 45, 36.2, 46.2, 37.5, 35, 23.8, 28.8, 26.2, 17.5, 13.8, 8.75, 3.75, 2.5, 1.25, 5, 1.25
3, 11, 4.71e+04, 1.94e+04, 1.42e+04, 2.47e+04, 9.75e+03, 1.04e+04, 1.2e+04, 1.31e+04, 1.8e+04, 1.33e+04, 8.22e+03, 9.74e+03, 1.2e+04, 1.74e+04, 1.3e+04, 2.55e+04, 1.62e+04, 2.55e+04, 1.59e+04, 2.2e+04, 2.18e+04, 3.81e+04, 2.12e+04, 2.88e+04, 2.9e+04, 4.25e+04, 2.27e+04, 1.89e+04, 1.43e+04, 1.16e+04, 6.99e+03, 5.05e+03, 249, 111, 60, 65, 48, 60, 46, 50, 52, 54, 61, 43, 56, 37, 50, 40, 40, 28, 29, 34, 41, 26, 20, 9, 12, 10, 6, 3, 3
