Collimator,Length,Width,Area,Area_Error,Region_A,Region_B,Region_C,Region_D
L1phi2,1,2, 0.97, 0.15,0.0466184150858797,0.0204489140013478,0.0198938734217391,0.00125100618131868
L1phi3,1,3, 4.6, 0.4,0.143914543240448,0.152816339225546,0.153538775874552,0.0431706730769231
L1phi4,1,4, 10.5, 0.6,0.315752841849967,0.40889326628998,0.415732521349295,0.246965659340659
L1phi7,1,7, 36, 1.4,0.667869134783428,0.952755170805039,0.958336887416562,0.863324175824176
L3phi2,3,2, 1.09, 0.12,0.00601084761191341,0.00193766657956624,0.00230326285234632,0.000229111111111111
L3phi3,3,3, 5.5, 0.2,0.00120234020159111,0.0557355631042592,0.053228854531557,0.0296296296296296
L3phi4,3,4, 10.4, 0.3,0.0265330311679199,0.180143715704207,0.176044670783919,0.120538518518519
L3phi7,3,7, 34.9, 0.9,0.599357108314922,0.666137967076039,0.659182458065454,0.753703703703704
L7phi2,7,2, 0.62, 0.08,0.00320508130309389,0.000428996386993175,0.000398076673073072,0
L7phi3,7,3, 6.1, 0.15,0.029233315752264,0.0241848655158571,0.0225559096450945,0.0100228940217391
L7phi4,7,4, 10.3, 0.4,0.0549258789599488,0.0665997591328784,0.0629121854039373,0.0394021739130435
L7phi7,7,7, 34.6, 0.8,0.260947582228906,0.362846246487354,0.366964031608055,0.339676630434783
L20phi2,20,2, 1.17, 0.1,0.0131593966860218,0.000435378726074678,0.000325438747332113,-0.000130657894736842
L20phi3,20,3, 6.33, 0.14,0.149618326016145,0.00752657671791654,0.00586429431221614,0.00463
L20phi4,20,4, 9.4, 0.2,0.0406938110749186,0.0250083464072796,0.023007556063564,0.00767559210526316
L20phi7,20,7, 35.5, 1.1,0.208722560543832,0.172734232820835,0.151982075843862,0.0542220394736842
