Collimator,Length,Width,Area,Area_Error,Region_A,Region_B,Region_C,Region_D
L1phi2,1,2, 0.97, 0.15,459913.95471542,99146.101826739,504115,183.118185321275
L1phi3,1,3, 4.6, 0.4,183960.695525392,96001.1561642455,504115,818.770367836674
L1phi4,1,4, 10.5, 0.6,149063.633027479,94868.2096651827,504115,1729.87188412851
L1phi7,1,7, 36, 1.4,136776.536227624,95893.2095870109,504115,2623.29461905314
L3phi2,3,2, 1.09, 0.12,275222.604035071,64390.8270603673,426498,134.287756034843
L3phi3,3,3, 5.5, 0.2,2382.16661087129,80144.5012774205,426498,751.472116994097
L3phi4,3,4, 10.4, 0.3,15894.8293495039,78322.1664058432,426498,924.350616666689
L3phi7,3,7, 34.9, 0.9,95889.687637476,77347.6286817955,426498,1543.57869744611
L7phi2,7,2, 0.62, 0.08,717469.822572531,53689.6569070673,284611,0
L7phi3,7,3, 6.1, 0.15,115491.241142054,53417.9298888103,284611,327.047328885019
L7phi4,7,4, 10.3, 0.4,77798.9187400519,52740.1802798023,284611,460.959984362347
L7phi7,7,7, 34.6, 0.8,63366.7008128914,49260.9586852033,284611,681.271128683863
L20phi2,20,2, 1.17, 0.1,571035.260931458,21318.1744855967,98861,-61.0253086419753
L20phi3,20,3, 6.33, 0.14,360300.811573954,20451.906677016,98861,120.007619422165
L20phi4,20,4, 9.4, 0.2,24977.7941825856,17320.7444936361,98861,50.7089930271922
L20phi7,20,7, 35.5, 1.1,19394.2606957691,18110.819876074,98861,54.2284342034329
