TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, CS1, CS2, CS3, CS4, CS5, CS6, CS7, CS8, CS9, CS10, CS11, CS12, CS13, CS14, CS15, CS16, CS17, CS18, CS19, CS20, CS21, CS22, CS23, CS24, CS25, CS26, CS27, CS28, CS29, CS30, CS31, CS32, CS33, CS34, CS35, CS36, CS37, CS38, CS39, CS40, CS41, CS42, CS43, CS44, CS45, CS46, CS47, CS48, CS49, CS50, CS51, CS52, CS53, CS54, CS55, CS56, CS57, CS58, CS59, CS60
L1REFX, 1, 11, 1, 0, 10, 121302, 34436, 21820, 33206, 13013, 13905, 16693, 16499, 20684, 15984, 9941, 12322, 14740, 22695, 15730, 32438, 19056, 33852, 19886, 27202, 25328, 47260, 24801, 34193, 32591, 47596, 24154, 20391, 14829, 12101, 7539, 5759, 419, 173, 131, 122, 122, 138, 128, 123,122, 125, 109, 120, 100, 84, 102, 92, 66, 76, 65, 68, 42, 42, 29, 30, 20, 14, 9, 6
L1F2X, 1, 2, 1, 0.97, 140, 9094, 6162.64, 4212.71, 2288.5, 336.429, 364.643, 370.143, 413.143, 423.714, 278.714, 225.071, 251, 346.357, 346.5, 429.786, 473.571, 474.5, 482.643, 436, 514.143, 724.643, 760.357, 635.143, 728.429, 972.5, 884.143, 513, 385.214, 274.571, 169.214, 88.7857, 32.5714, 0.785714, 0.142857, 0.214286, 0.285714, 0.285714, 0.428571, 0.0714286, 0.214286, 0.0714286, 0.142857, 0.285714, 0.142857, 0.142857, 0.0714286, 0.285714, 0.142857, 0, 0.142857, 0.0714286, 0.142857, 0, 0.0714286, 0.0714286, 0, 0, 0, 0, 0
L1F2O, 1, 2, 1, 0.97, 140, 6097.57, 3000.71, 2640.14, 764.429, 122.643, 96.7857, 31.9286, 6, 1.57143, 0.642857, 0.5, 0.5, 0.142857, 0.214286, 0.357143, 0.357143, 0, 0.142857, 0, 0.0714286, 0.0714286, 0, 0, 0, 0, 0.0714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F3X, 1, 3, 1, 4.6, 28, 15194.3, 11559.6, 6586.79, 6967.86, 1892.5, 2127.14, 2599.64, 2836.43, 3111.07, 2384.29, 1604.29, 1911.43, 2515.71, 3326.79, 2821.07, 4777.86, 3350.71, 5148.57, 3469.29, 4513.93, 4726.43, 7338.21, 4525, 5909.29, 5752.86, 7006.79, 3317.14, 2461.07, 1589.64, 956.071, 449.643, 226.071, 10.7143, 7.5, 8.92857, 5.35714, 7.85714, 8.21429, 6.42857, 8.21429, 4.28571, 5, 5.35714, 6.78571, 6.07143, 2.85714, 6.42857, 6.07143, 4.64286, 5.35714, 4.28571, 3.92857, 1.07143, 0.714286, 0.714286, 0.357143, 0.357143, 0, 0, 0
L1F3O, 1, 3, 1, 4.6, 28, 6587.5, 3387.14, 2915.71, 917.857, 115.714, 97.8571, 43.2143, 8.21429, 3.92857, 0.357143, 0, 0, 0, 1.07143, 0, 0, 0, 0, 0, 0, 0, 0.357143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.357143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F4X, 1, 4, 1, 10.5, 12, 30585, 17949.2, 10593.3, 15000, 4947.5, 5545.83, 6965.83, 7277.5, 8493.33, 6430, 4305, 5266.67, 6370, 10016.7, 7192.5, 14095, 8591.67, 15786.7, 9319.17, 12420, 11649.2, 21006.7, 11665.8, 16160.8, 14322.5, 18225.8, 8370.83, 6400.83, 3980.83, 2636.67, 1355, 730.833, 48.3333, 38.3333, 45, 36.6667, 44.1667, 41.6667, 40.8333, 39.1667, 35.8333, 37.5, 37.5, 50, 36.6667, 20.8333, 26.6667, 23.3333, 17.5, 21.6667, 18.3333, 20, 10, 6.66667, 8.33333, 5, 2.5, 3.33333, 0, 1.66667
L1F4O, 1, 4, 1, 10.5, 12, 6620.83, 3505, 2826.67, 897.5, 124.167, 99.1667, 39.1667, 6.66667, 0.833333, 0, 0, 0, 0, 0, 0, 0, 0.833333, 0.833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F7X, 1, 7, 1, 36, 10, 63284, 30603, 18955, 30930, 11321, 12458, 16328, 16818, 19682, 15458, 9833, 12309, 14852, 23727, 15849, 33848, 19396, 37793, 21336, 29067, 26220, 49373, 25880, 37314, 32129, 42160, 19062, 14246, 9155, 5795, 2752, 1472, 140, 147, 148, 136, 140, 144, 143, 164, 134, 128, 129, 147, 117, 101, 93, 99, 77, 84, 66, 57, 41, 28, 24, 13, 12, 4, 1, 5
L1F7O, 1, 7, 1, 36, 10, 7310, 3845, 2941, 950, 122, 116, 41, 4, 2, 3, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1REFO, 1, 11, 1, 0, 10, 6299, 3691, 3356, 1422, 110, 122, 52, 14, 5, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L3F2O, 3, 2, 3, 1.09, 194, 3917.32, 1991.29, 1987.37, 707.474, 92.4227, 77.1649, 39.0206, 10.1031, 2.8866, 1.18557, 0.618557, 0.979381, 0.515464, 0.206186, 0.0515464, 0.103093, 0.154639, 0.154639, 0, 0, 0.0515464, 0, 0, 0.0515464, 0.0515464, 0, 0.0515464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L3F3X, 3, 3, 3, 5.5, 25, 7602.4, 4322.8, 3426.8, 2546.4, 533.6, 549.2, 546.8, 950, 1176.4, 668.8, 446, 531.6, 659.6, 683.6, 799.2, 996.4, 820, 848, 717.2, 896.4, 1180.4, 1317.2, 1112, 1339.6, 2113.2, 2351.2, 1571.2, 1426.4, 1192.4, 956.4, 599.6, 320.4, 17.2, 3.2, 3.2, 0.8, 1.2, 1.6, 0.4, 1.6, 0.8, 0.8, 1.6, 2, 2, 1.2, 0.8, 0.4, 0, 1.2, 0.8, 1.2, 1.2, 1.2, 0.4, 0, 0, 0.4, 0, 0
L3F3O, 3, 3, 3, 5.5, 25, 3916.8, 1828.8, 1966.8, 498.4, 98.4, 77.2, 30, 5.6, 1.6, 2, 1.2, 0.4, 1.2, 1.2, 0.8, 0.4, 0, 0, 0, 0, 0, 0, 0.4, 0, 0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L3F4X, 3, 4, 3, 10.4, 11, 9612.73, 7241.82, 4830, 5633.64, 1558.18, 1651.82, 1842.73, 2632.73, 3774.55, 2473.64, 1549.09, 1648.18, 2140.91, 2650, 2320, 3757.27, 2847.27, 3410.91, 2538.18, 3311.82, 3890.91, 5743.64, 4026.36, 4836.36, 6192.73, 8737.27, 4627.27, 3991.82, 2950, 2242.73, 1231.82, 741.818, 22.7273, 11.8182, 3.63636, 6.36364, 12.7273, 4.54545, 7.27273, 10, 10, 7.27273, 5.45455, 11.8182, 1.81818, 6.36364, 10, 3.63636, 6.36364, 3.63636, 3.63636, 7.27273, 3.63636, 1.81818, 0.909091, 0.909091, 1.81818, 0, 0.909091, 0
L3F4O, 3, 4, 3, 10.4, 11, 3973.64, 1765.45, 1637.27, 387.273, 83.6364, 62.7273, 28.1818, 5.45455, 0, 0, 0, 0, 0.909091, 0.909091, 0.909091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
