Collimator,Length,Width,Area,Area_Error,Region_A,Region_A_Error,Region_B,Region_B_Error,Region_C,Region_C_Error,Region_D,Region_D_Error
L1phi2,1,2, 0.97, 0.15,9150,30,1972,12,10030,30,3.6,0.5
L1phi3,1,3, 4.6, 0.4,28200,100,14740,70,77400,170,126,7
L1phi4,1,4, 10.5, 0.6,62000,200,39440,180,209600,400,720,20
L1phi7,1,7, 36, 1.4,131100,400,91900,300,483100,700,2510,50
L1phi11,1,11,,,196300,400,96500,300,504100,700,2910,50
L3phi2,3,2, 1.09, 0.12,633.91,,148.309,,982.337,,0.3093,
L3phi3,3,3, 5.5, 0.2,126.8,,4266,,22702,,40,
L3phi4,3,4, 10.4, 0.3,2798.2,,13788.2,,75082.7,,162.727,
L3phi7,3,7, 34.9, 0.9,63208.8,,50986.2,,281140,,1017.5,
L3phi11,3,11,,,105461,,76540,,426498,,1350,
L7phi2,7,2, 0.62, 0.08,285.608,,21.3726,,113.297,,0,
L7phi3,7,3, 6.1, 0.15,2605.01,,1204.89,,6419.66,,7.37685,
L7phi4,7,4, 10.3, 0.4,4894.5,,3318,,17905.5,,29,
L7phi7,7,7, 34.6, 0.8,23253.3,,18077,,104442,,250.002,
L7phi11,7,11,,,89111,,49820,,284611,,736,
L20phi2,20,2, 1.17, 0.1,185.837,,6.93776,,32.1732,,-0.01986,
L20phi3,20,3, 6.33, 0.14,2112.91,,119.936,,579.75,,0.70376,
L20phi4,20,4, 9.4, 0.2,574.678,,398.508,,2274.55,,1.16669,
L20phi7,20,7, 35.5, 1.1,2947.58,,2752.52,,15025.1,,8.24175,
L20phi11,20,11,,,14122,,15935,,98861,,152,
