TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, EVENT_NUM, EEM, EEM_ERROR, EAM, EAM_ERROR, EAE, EAE_ERROR, DOUBLE, DOUBLE_ERROR
L1REFAX, 1, 11, 1, 95.03, 2580000, 207894, 455.954, 838315, 915.595, 735915, 857.855, 6123, 78.2496
L1REFAO, 1, 11, 1, 95.03, 2580000, 304, 17.4356, 0, 0, 0, 0, 0, 0
L1F7AX, 1, 7, 1, 36, 2580000, 149168, 386.223, 673790, 820.847, 625519, 790.898, 5916, 76.9155
L1F7AO, 1, 7, 1, 36, 2580000, 311, 17.6352, 0, 0, 0, 0, 0, 0
L1F4AX, 1, 4, 1, 10.5, 3096000, 62805.8, 208.842, 274928, 436.946, 258745, 423.892, 2052.5, 37.7538
L1F4AO, 1, 4, 1, 10.5, 3096000, 285.833, 14.0888, 0, 0, 0, 0, 0, 0
L1F3AX, 1, 3, 1, 4.6, 7224000, 23150.7, 54.3406, 97716.1, 111.641, 89341.8, 106.75, 359.643, 6.77295
L1F3AO, 1, 3, 1, 4.6, 7224000, 310.714, 6.29539, 0, 0, 0, 0, 0, 0
L1F4AX_DX000, 1, 4, 1, 10.5, 2580000, 62911, 250.821, 275250, 524.643, 259032, 508.952, 2073, 45.5302
L1F4AX_DX002, 1, 4, 1, 10.5, 2580000, 62901, 250.801, 275282, 524.673, 259050, 508.97, 2021, 44.9555
L1F4AX_DX004, 1, 4, 1, 10.5, 2580000, 62897, 250.793, 275187, 524.583, 258959, 508.88, 2025, 45
L1F4AX_DX006, 1, 4, 1, 10.5, 2580000, 62921, 250.841, 275055, 524.457, 258818, 508.742, 2105, 45.8803
L1F4AX_DX008, 1, 4, 1, 10.5, 2580000, 62892, 250.783, 275244, 524.637, 259008, 508.928, 2028, 45.0333
L1F4AX_DX010, 1, 4, 1, 10.5, 2580000, 62906, 250.811, 275103, 524.503, 258877, 508.8, 2059, 45.3762
L1F4AX_DX012, 1, 4, 1, 10.5, 2580000, 62841, 250.681, 274953, 524.36, 258748, 508.673, 2074, 45.5412
L1F4AX_DX014, 1, 4, 1, 10.5, 2580000, 62845, 250.689, 275115, 524.514, 258918, 508.84, 2024, 44.9889
L1F4AX_DX016, 1, 4, 1, 10.5, 2580000, 62845, 250.689, 275262, 524.654, 259033, 508.953, 1982, 44.5197
L1F4AX_DX018, 1, 4, 1, 10.5, 2580000, 62824, 250.647, 275261, 524.653, 259014, 508.934, 1985, 44.5533
L1F4AX_DX020, 1, 4, 1, 10.5, 2580000, 62916, 250.831, 275196, 524.591, 258944, 508.865, 2043, 45.1996
L1F4AX_DY020, 1, 4, 1, 10.5, 2580000, 62202, 249.403, 273371, 522.849, 258353, 508.284, 1935, 43.9886
L1F4AX_DY018, 1, 4, 1, 10.5, 2580000, 62333, 249.666, 273350, 522.829, 258070, 508.006, 1956, 44.2267
L1F4AX_DY016, 1, 4, 1, 10.5, 2580000, 62713, 250.426, 273860, 523.316, 258343, 508.275, 1979, 44.486
L1F4AX_DY014, 1, 4, 1, 10.5, 2580000, 62726, 250.452, 273908, 523.362, 258310, 508.242, 1964, 44.317
L1F4AX_DY012, 1, 4, 1, 10.5, 2580000, 62747, 250.494, 273580, 523.049, 257713, 507.654, 2033, 45.0888
L1F4AX_DY010, 1, 4, 1, 10.5, 2580000, 62800, 250.599, 273742, 523.204, 257780, 507.72, 1983, 44.5309
L1F4AX_DY008, 1, 4, 1, 10.5, 2580000, 62773, 250.545, 273981, 523.432, 258025, 507.962, 2033, 45.0888
L1F4AX_DY006, 1, 4, 1, 10.5, 2580000, 62725, 250.45, 274582, 524.006, 258479, 508.408, 1993, 44.643
L1F4AX_DY004, 1, 4, 1, 10.5, 2580000, 62953, 250.904, 274607, 524.03, 258519, 508.448, 2042, 45.1885
L1F4AX_DY002, 1, 4, 1, 10.5, 2580000, 63004, 251.006, 275113, 524.512, 258990, 508.911, 2017, 44.911
L1F4AX_DY000, 1, 4, 1, 10.5, 2580000, 62911, 250.821, 275250, 524.643, 259032, 508.952, 2073, 45.5302
