LENGTH, PHI, AREA, AREA_ERROR, RATIO, RATIO_LOW, RATIO_HIGH, DATA, DATA_ERROR
1, 1, 0.1, 0.2, 0.000004, 0.000000, 0.000290, 76.8, 0.8
1, 2, 1.12, 0.15, 0.002624, 0.000770, 0.006246, 4236, 17
1, 3, 5.1, 0.6, 0.032293, 0.018639, 0.050214, 34840, 110
1, 4, 11.9, 0.2, 0.099138, 0.075436, 0.123939, 96300, 300
1, 7, 36.9, 1.6, 0.25203, 0.2396864, 0.2625431, 224800, 500
3, 2, 1.3, 0.2, 0.000445, 0.000112, 0.001229, 360, 4
3, 3, 6.8, 0.9, 0.010690, 0.008520, 0.013173, 8260, 60
3, 4, 10.6, 0.7, 0.032440, 0.027771, 0.037517, 29140, 160
3, 7, 38, 7, 0.120720, 0.113448, 0.127999, 113100, 400
7, 2, 0.9, 0.2, 0.000030, 0.000011, 0.000068, 39.8, 0.6
7, 3, 7.9, 1.3, 0.002882, 0.002361, 0.003496, 2253, 19
7, 4, 10.6, 0.6, 0.006296, 0.005106, 0.007674, 6290, 60
7, 7, 37.3, 1.6, 0.040119, 0.037552, 0.042735, 38710, 140
20, 2, 0.59, 0.12, 0.000012, 0.000004, 0.000026, 10.5, 0.3
20, 3, 6.8, 0.8, 0.000394, 0.000329, 0.000463, 196.3, 1.9
20, 4, 11.5, 0.7, 0.000886, 0.000697, 0.001062, 768, 11
20, 7, 35.5, 1.1, 0.006476, 0.005882, 0.007093, 5260, 20
