LENGTH, PHI, AREA, AREA_ERROR, RATIO, RATIO_LOW, RATIO_HIGH, DATA, DATA_ERROR
1, 1, 0.24, 0.04, 0.000124, 0.000062, 0.000224, 76.8, 0.8
1, 2, 0.67, 0.13, 0.005149, 0.002462, 0.009227, 4236, 17
3, 2, 0.68, 0.04, 0.000888, 0.000702, 0.001108, 360, 4
7, 2, 0.51, 0.04, 0.000056, 0.000039, 0.000073, 39.8, 0.6
20, 2, 0.7, 0.07, 0.000024, 0.000016, 0.000034, 10.5, 0.3
1, 3, 1.34, 0.11, 0.044477, 0.034719, 0.055424, 34840, 110
3, 3, 1.5, 0.2, 0.016877, 0.010119, 0.026152, 8260, 60
7, 3, 1.48, 0.06, 0.003688, 0.003138, 0.004299, 2253, 19
20, 3, 1.51, 0.1, 0.000516, 0.000394, 0.000668, 196.3, 1.9
1, 4, 2.1, 0.3, 0.135917, 0.036718, 0.172118, 96300, 300
3, 4, 1.9, 0.05, 0.038190, 0.034949, 0.041706, 29140, 160
7, 4, 1.81, 0.11, 0.008009, 0.006296, 0.010031, 6290, 60
20, 4, 1.88, 0.16, 0.001232, 0.000866, 0.001706, 768, 11
1, 7, 3.8, 0.9, 0.2712953, 0.217675, 0.2943778, 224800, 500
3, 7, 3.5, 0.3, 0.130047, 0.114497, 0.144902, 113100, 400
7, 7, 3.38, 0.12, 0.041642, 0.039021, 0.044291, 38710, 140
20, 7, 3.44, 0.13, 0.006821, 0.006325, 0.007331, 5260, 20
