LENGTH, PHI, AREA, AREA_ERROR, RATIO, RATIO_LOW, RATIO_HIGH, DATA, DATA_ERROR
1, 2, 1.12, 0.15, 0.002796, 0.001096, 0.005653, 4236, 17
1, 3, 5.1, 0.6, 0.033086, 0.021013, 0.048229, 34840, 110
1, 4, 11.9, 0.2, 0.100421, 0.080346, 0.121421, 96300, 300
1, 7, 36.9, 1.6, 0.25203, 0.2396864, 0.2625431, 224800, 500
3, 2, 1.3, 0.2, 0.000513, 0.000248, 0.000934, 360, 4
3, 3, 6.8, 0.9, 0.01069, 0.00852, 0.013173, 8260, 60
3, 4, 10.6, 0.7, 0.03305, 0.028332, 0.03819, 29140, 160
3, 7, 38, 7, 0.121296, 0.113972, 0.1333542, 113100, 400
7, 2, 0.9, 0.2, 0.00003, 0.000012, 0.000064, 39.8, 0.6
7, 3, 7.9, 1.3, 0.002882, 0.002503, 0.003312, 2253, 19
7, 4, 10.6, 0.6, 0.008009, 0.006296, 0.010031, 6290, 60
7, 7, 37.3, 1.6, 0.040313, 0.037762, 0.042957, 38710, 140
20, 2, 1.11, 0.14, 0.000024, 0.000016, 0.000034, 10.5, 0.3
20, 3, 6.8, 0.8, 0.000404, 0.000349, 0.000463, 196.3, 1.9
20, 4, 11.5, 0.7, 0.001232, 0.000866, 0.001706, 768, 11
20, 7, 37.2, 1.5, 0.006821, 0.006325, 0.007331, 5260, 20
