Collimator,Length,Width,Area,Area_Error,Region_A,Region_B,Region_C,Region_D
L1phi2,1,2, 0.97, 0.15,9342,2994,8151,9
L1phi3,1,3, 4.6, 0.4,98316,23145,90057,330
L1phi4,1,4, 10.5, 0.6,275190,62904,259263,2091
L1phi7,1,7, 36, 1.4,673035,149853,624357,5793
L1phi11,1,11,,,837345,208695,735360,6144
L3phi2,3,2, 1.09, 0.12,1461,873,1368,0
L3phi3,3,3, 5.5, 0.2,30189,10593,28767,72
L3phi4,3,4, 10.4, 0.3,92787,28692,88980,411
L3phi7,3,7, 34.9, 0.9,319281,87315,314502,1668
L3phi11,3,11,,,687012,209283,652251,2799
L7phi2,7,2, 0.62, 0.08,81,102,78,0
L7phi3,7,3, 6.1, 0.15,7836,3819,7644,6
L7phi4,7,4, 10.3, 0.4,21801,9522,21201,39
L7phi7,7,7, 34.6, 0.8,105276,38364,104181,321
L7phi11,7,11,,,445731,161856,445728,714
L20phi2,20,2, 1.17, 0.1,31.5,8.5,29.5,0
L20phi3,20,3, 6.33, 0.14,787.5,335.5,778,0
L20phi4,20,4, 9.4, 0.2,1790.5,735,1765.5,0
L20phi7,20,7, 35.5, 1.1,12730,5070.5,12654,11
L20phi11,20,11,,,144270,57576,144270,78
