Collimator,Length,Width,Area,Area_Error,Region_A,Region_B,Region_C,Region_D
L1phi2,1,2, 0.97, 0.15,161,239,7753,4
L1phi3,1,3, 4.6, 0.4,1264,3182,85718,303
L1phi4,1,4, 10.5, 0.6,4449,12491,225789,1705
L1phi7,1,7, 36, 1.4,8876,20908,299201,2840
L1phi11,1,11,,,12768,29018,286641,2497
L3phi2,3,2, 1.09, 0.12,,,,
L3phi3,3,3, 5.5, 0.2,,,,
L3phi4,3,4, 10.4, 0.3,,,,
L3phi7,3,7, 34.9, 0.9,,,,
L3phi11,3,11,,,,,,
L7phi2,7,2, 0.62, 0.08,,,,
L7phi3,7,3, 6.1, 0.15,,,,
L7phi4,7,4, 10.3, 0.4,,,,
L7phi7,7,7, 34.6, 0.8,,,,
L7phi11,7,11,,,,,,
L20phi2,20,2, 1.17, 0.1,,,,
L20phi3,20,3, 6.33, 0.14,,,,
L20phi4,20,4, 9.4, 0.2,,,,
L20phi7,20,7, 35.5, 1.1,,,,
L20phi11,20,11,,,,,,
