tag, output_directory, name, y_range, plot_list
1mm_alpha, /mnt/homes/ychoi/entry_test/result/, clustersize_1mm_alpha, 5E-01 2E+05, 1mm_nocollimator_alpha 1mm_2phi_alpha 1mm_3phi_alpha 1mm_4phi_alpha 1mm_7phi_alpha
1mm_gamma, /mnt/homes/ychoi/entry_test/result/, clustersize_1mm_gamma, 5E-01 2E+05, 1mm_nocollimator_gamma 1mm_2phi_gamma 1mm_3phi_gamma 1mm_4phi_gamma 1mm_7phi_gamma
1mm_alphagamma, /mnt/homes/ychoi/entry_test/result/, clustersize_1mm_alphagamma, 5E-01 2E+05, 1mm_nocollimator_alphagamma 1mm_2phi_alphagamma 1mm_3phi_alphagamma 1mm_4phi_alphagamma 1mm_7phi_alphagamma
reference_alphagamma, /mnt/homes/ychoi/entry_test/result/, clustersize_reference_alphagamma, 5E-01 2E+05, 1mm_nocollimator_alphagamma 3mm_nocollimator_alphagamma 7mm_nocollimator_alphagamma 20mm_nocollimator_alphagamma
reference_alpha, /mnt/homes/ychoi/entry_test/result/, clustersize_reference_alpha, 5E-01 2E+05, 1mm_nocollimator_alpha 3mm_nocollimator_alpha 7mm_nocollimator_alpha 20mm_nocollimator_alpha
reference_gamma, /mnt/homes/ychoi/entry_test/result/, clustersize_reference_gamma, 5E-01 2E+05, 1mm_nocollimator_gamma 3mm_nocollimator_gamma 7mm_nocollimator_gamma 20mm_nocollimator_gamma
3mm_alpha, /mnt/homes/ychoi/entry_test/result/, clustersize_3mm_alpha, 5E-01 2E+05, 3mm_nocollimator_alpha 3mm_2phi_alpha 3mm_3phi_alpha 3mm_4phi_alpha 3mm_7phi_alpha
7mm_alpha, /mnt/homes/ychoi/entry_test/result/, clustersize_7mm_alpha, 5E-01 2E+05, 7mm_nocollimator_alpha 7mm_2phi_alpha 7mm_3phi_alpha 7mm_4phi_alpha 7mm_7phi_alpha
20mm_alpha, /mnt/homes/ychoi/entry_test/result/, clustersize_20mm_alpha, 5E-01 2E+05, 20mm_nocollimator_alpha 20mm_2phi_alpha 20mm_3phi_alpha 20mm_4phi_alpha 20mm_7phi_alpha
1mm_2phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_1mm_2phi_alpha, 9E-01 2E+05, 1mm_2phi_alpha
1mm_3phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_1mm_3phi_alpha, 9E-01 2E+05, 1mm_3phi_alpha
1mm_4phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_1mm_4phi_alpha, 9E-01 2E+05, 1mm_4phi_alpha
1mm_7phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_1mm_7phi_alpha, 9E-01 2E+05, 1mm_7phi_alpha
1mm_nocollimator_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_1mm_nocollimator_alpha, 9E-01 2E+05, 1mm_nocollimator_alpha
3mm_2phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_3mm_2phi_alpha, 9E-01 2E+05, 3mm_2phi_alpha
3mm_3phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_3mm_3phi_alpha, 9E-01 2E+05, 3mm_3phi_alpha
3mm_4phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_3mm_4phi_alpha, 9E-01 2E+05, 3mm_4phi_alpha
3mm_7phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_3mm_7phi_alpha, 9E-01 2E+05, 3mm_7phi_alpha
