tag, length, width,area, file
1mm_nocollimator_noscreen, 1, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_nocollimator_alpha_noscreen_incident.root
1mm_2phi_noscreen, 1, 2, 0.97, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_2phi_alpha_noscreen_incident.root
1mm_3phi_noscreen, 1, 3, 4.6, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_3phi_alpha_noscreen_incident.root
1mm_4phi_noscreen, 1, 4, 10.5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_4phi_alpha_noscreen_incident.root
1mm_7phi_noscreen, 1, 7, 36, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_7phi_alpha_noscreen_incident.root
1mm_nocollimator_screen, 1, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_nocollimator_alpha_screen_incident.root
1mm_2phi_screen, 1, 2, 0.97, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_2phi_alpha_screen_incident.root
1mm_3phi_screen, 1, 3, 4.6, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_3phi_alpha_screen_incident.root
1mm_4phi_screen, 1, 4, 10.5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_4phi_alpha_screen_incident.root
1mm_7phi_screen, 1, 7, 36, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_7phi_alpha_screen_incident.root
3mm_nocollimator_noscreen, 3, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_nocollimator_alpha_noscreen_incident.root
3mm_2phi_noscreen, 3, 2, 1.09, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_2phi_alpha_noscreen_incident.root
3mm_3phi_noscreen, 3, 3, 5.5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_3phi_alpha_noscreen_incident.root
3mm_4phi_noscreen, 3, 4, 10.4, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_4phi_alpha_noscreen_incident.root
3mm_7phi_noscreen, 3, 7, 34.9, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_7phi_alpha_noscreen_incident.root
3mm_nocollimator_screen, 3, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_nocollimator_alpha_screen_incident.root
3mm_2phi_screen, 3, 2, 1.09, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_2phi_alpha_screen_incident.root
3mm_3phi_screen, 3, 3, 5.5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_3phi_alpha_screen_incident.root
3mm_4phi_screen, 3, 4, 10.4, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_4phi_alpha_screen_incident.root
3mm_7phi_screen, 3, 7, 34.9, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_7phi_alpha_screen_incident.root
7mm_nocollimator_noscreen, 7, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_nocollimator_alpha_noscreen_incident.root
7mm_2phi_noscreen, 7, 2, 0.62, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_2phi_alpha_noscreen_incident.root
7mm_3phi_noscreen, 7, 3, 6.1, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_3phi_alpha_noscreen_incident.root
7mm_4phi_noscreen, 7, 4, 10.3, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_4phi_alpha_noscreen_incident.root
7mm_7phi_noscreen, 7, 7, 34.6, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_7phi_alpha_noscreen_incident.root
7mm_nocollimator_screen, 7, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_nocollimator_alpha_screen_incident.root
7mm_2phi_screen, 7, 2, 0.62, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_2phi_alpha_screen_incident.root
7mm_3phi_screen, 7, 3, 6.1, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_3phi_alpha_screen_incident.root
7mm_4phi_screen, 7, 4, 10.3, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_4phi_alpha_screen_incident.root
7mm_7phi_screen, 7, 7, 34.6, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_7phi_alpha_screen_incident.root
20mm_nocollimator_noscreen, 20, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_nocollimator_alpha_noscreen_incident.root
20mm_2phi_noscreen, 20, 2, 1.17, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_2phi_alpha_noscreen_incident.root
20mm_3phi_noscreen, 20, 3, 6.33, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_3phi_alpha_noscreen_incident.root
20mm_4phi_noscreen, 20, 4, 9.4, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_4phi_alpha_noscreen_incident.root
20mm_7phi_noscreen, 20, 7, 35.5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_7phi_alpha_noscreen_incident.root
20mm_nocollimator_screen, 20, 11, 0, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_nocollimator_alpha_screen_incident.root
20mm_2phi_screen, 20, 2, 1.17, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_2phi_alpha_screen_incident.root
20mm_3phi_screen, 20, 3, 6.33, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_3phi_alpha_screen_incident.root
20mm_4phi_screen, 20, 4, 9.4, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_4phi_alpha_screen_incident.root
20mm_7phi_screen, 20, 7, 35.5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_7phi_alpha_screen_incident.root
