tag, input_file, output_directory, collimator_length
1mm_2phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_2phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_2phi_alpha_noscreen,1
1mm_3phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_3phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_3phi_alpha_noscreen,1
1mm_4phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_4phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_4phi_alpha_noscreen,1
1mm_7phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_7phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_7phi_alpha_noscreen,1
1mm_2phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_2phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_2phi_alpha_screen,1
1mm_3phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_3phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_3phi_alpha_screen,1
1mm_4phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_4phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_4phi_alpha_screen,1
1mm_7phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_7phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_7phi_alpha_screen,1
3mm_2phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_2phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_2phi_alpha_noscreen,3
3mm_3phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_3phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_3phi_alpha_noscreen,3
3mm_4phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_4phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_4phi_alpha_noscreen,3
3mm_7phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_7phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_7phi_alpha_noscreen,3
3mm_2phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_2phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_2phi_alpha_screen,3
3mm_3phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_3phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_3phi_alpha_screen,3
3mm_4phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_4phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_4phi_alpha_screen,3
3mm_7phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_7phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_7phi_alpha_screen,3
7mm_2phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_2phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_2phi_alpha_noscreen,7
7mm_3phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_3phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_3phi_alpha_noscreen,7
7mm_4phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_4phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_4phi_alpha_noscreen,7
7mm_7phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_7phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_7phi_alpha_noscreen,7
7mm_2phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_2phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_2phi_alpha_screen,7
7mm_3phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_3phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_3phi_alpha_screen,7
7mm_4phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_4phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_4phi_alpha_screen,7
7mm_7phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_7phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_7phi_alpha_screen,7
20mm_2phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_2phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_2phi_alpha_noscreen,20
